State,Data Acquisition Time,pH
Andhra Pradesh,07-02-2019 08:30,7.5
Andhra Pradesh,08-02-2019 08:30,7.8
Andhra Pradesh,10-09-2019 08:30,7.7
Andhra Pradesh,11-06-2019 08:30,7.2
Andhra Pradesh,12-10-2019 08:30,7.2
Andhra Pradesh,01-08-2020 08:30,7.7
Andhra Pradesh,02-04-2020 08:30,7.3
Andhra Pradesh,03-05-2020 08:30,7.4
Andhra Pradesh,14-04-2020 08:30,7.8
Andhra Pradesh,05-05-2020 08:30,7.7
Andhra Pradesh,06-06-2020 08:30,7.5
Andhra Pradesh,07-06-2020 08:30,7.4
Andhra Pradesh,08-07-2020 08:30,7.1
Andhra Pradesh,09-04-2020 08:30,7.71
Andhra Pradesh,11-12-2020 08:30,7.09
Andhra Pradesh,12-10-2020 08:30,7.1
Andhra Pradesh,05-10-2018 08:30,7.26
Andhra Pradesh,10-04-2018 08:30,7.38
Andhra Pradesh,10-05-2019 08:30,7.5
Andhra Pradesh,13-04-2020 08:30,7.2
Andhra Pradesh,04-02-2018 08:30,7.18
Andhra Pradesh,10-04-2018 08:30,7.29
Andhra Pradesh,10-03-2019 08:30,7.2
Andhra Pradesh,04-06-2018 08:30,7.25
Andhra Pradesh,10-04-2018 08:30,7.24
Andhra Pradesh,10-10-2019 08:30,7.2
Andhra Pradesh,04-08-2020 08:30,7.1
Andhra Pradesh,10-07-2020 08:30,7.44
Andhra Pradesh,04-02-2018 08:30,6.99
Andhra Pradesh,10-04-2018 08:30,7.99
Andhra Pradesh,10-03-2019 08:30,8.1
Andhra Pradesh,05-07-2018 08:30,8.16
Andhra Pradesh,04-04-2019 08:30,6.7
Andhra Pradesh,10-10-2019 08:30,6.9
Andhra Pradesh,04-06-2020 08:30,7.2
Andhra Pradesh,04-08-2020 08:30,7.27
Andhra Pradesh,10-09-2020 08:30,7.34
Andhra Pradesh,27-05-2019 08:30,7.3
Andhra Pradesh,06-12-2019 08:30,7.3
Andhra Pradesh,07-03-2019 08:30,7.9
Andhra Pradesh,08-07-2019 08:30,6.8
Andhra Pradesh,09-07-2019 08:30,7.2
Andhra Pradesh,10-07-2019 08:30,7.4
Andhra Pradesh,11-07-2019 08:30,6.8
Andhra Pradesh,12-06-2019 08:30,6.8
Andhra Pradesh,01-03-2020 08:30,7
Andhra Pradesh,02-06-2020 08:30,7.3
Andhra Pradesh,03-10-2020 08:30,6.5
Andhra Pradesh,04-11-2020 08:30,6.4
Andhra Pradesh,13-05-2020 08:30,6.4
Andhra Pradesh,06-10-2020 08:30,7.1
Andhra Pradesh,07-06-2020 08:30,7.6
Andhra Pradesh,08-01-2020 08:30,7.2
Andhra Pradesh,09-08-2020 08:30,7.4
Andhra Pradesh,10-07-2020 08:30,6.5
Andhra Pradesh,11-04-2020 08:30,7.6
Andhra Pradesh,12-09-2020 08:30,7.2
Andhra Pradesh,05-02-2019 08:30,7.1
Andhra Pradesh,06-12-2019 08:30,8.4
Andhra Pradesh,07-09-2019 08:30,7.7
Andhra Pradesh,08-06-2019 08:30,7.4
Andhra Pradesh,09-03-2019 08:30,7.4
Andhra Pradesh,10-04-2019 08:30,7.2
Andhra Pradesh,11-07-2019 08:30,7.2
Andhra Pradesh,12-06-2019 08:30,7.2
Andhra Pradesh,02-05-2020 08:30,7.5
Andhra Pradesh,17-03-2020 08:30,7.5
Andhra Pradesh,13-04-2020 08:30,7.2
Andhra Pradesh,05-04-2020 08:30,7.9
Andhra Pradesh,06-09-2020 08:30,7.4
Andhra Pradesh,07-03-2020 08:30,7.3
Andhra Pradesh,08-07-2020 08:30,6.9
Andhra Pradesh,09-07-2020 08:30,7.16
Andhra Pradesh,10-07-2020 08:30,6.88
Andhra Pradesh,11-05-2020 08:30,7.25
Andhra Pradesh,12-07-2020 08:30,6.9
Andhra Pradesh,01-10-2018 08:30,8.16
Andhra Pradesh,02-09-2018 08:30,8.41
Andhra Pradesh,03-10-2018 08:30,7.87
Andhra Pradesh,04-02-2018 08:30,7.35
Andhra Pradesh,05-03-2018 08:30,7.34
Andhra Pradesh,06-04-2018 08:30,8.04
Andhra Pradesh,07-02-2018 08:30,8.62
Andhra Pradesh,08-10-2018 08:30,7.54
Andhra Pradesh,09-06-2018 08:30,7.93
Andhra Pradesh,10-04-2018 08:30,7.41
Andhra Pradesh,11-12-2018 08:30,8.82
Andhra Pradesh,12-03-2018 08:30,8.5
Andhra Pradesh,01-05-2019 08:30,7.1
Andhra Pradesh,02-06-2019 08:30,8
Andhra Pradesh,03-07-2019 08:30,7.9
Andhra Pradesh,05-02-2019 08:30,7.7
Andhra Pradesh,06-01-2019 08:30,7.4
Andhra Pradesh,07-02-2019 08:30,7.4
Andhra Pradesh,08-01-2019 08:30,7.1
